state,date,triad,vt_triad,support_count,hot_hits,superhot_hits,vertical_hits,set1_hits,col1_hits,precol1_hits,vt_straight_hits,vt_only_lane_hits,guard_hits,literal_hits,variant_span,set_span,column_span,score_mean,score_max,evidence_tags
PuertoRico4,2025-06-23,155,12,20,20,12,3,17,12,0,18,6,1,12,3,2,5,23.858,36.45,"col1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,019,125,34,34,13,5,28,7,9,20,4,1,13,3,3,7,21.34,35.65,"col1,funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,338,44,23,23,8,3,17,3,13,17,3,0,14,3,3,7,22.452,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,579,135,99,99,31,4,69,8,18,38,25,0,13,3,3,7,18.469,33.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,047,135,61,61,22,4,43,6,10,20,8,0,0,3,3,7,18.26,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,024,135,96,96,29,4,67,9,20,28,0,0,0,3,3,7,17.918,31.75,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_straight"
PuertoRico4,2025-06-23,566,12,21,21,1,4,11,1,7,17,5,0,12,3,3,7,21.979,31.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,168,224,27,27,1,5,14,0,7,22,7,0,14,2,3,6,22.391,31.4,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vertical5,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,006,12,9,9,1,3,6,1,0,7,1,1,0,3,2,5,22.3,31.25,"col1,guard_set1,hot16,hot20,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,456,125,22,22,2,3,17,0,1,8,8,1,0,3,3,6,17.607,30.75,"funnel_precol1,guard_set1,hot12,hot16,hot20,hot4,hot8,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,559,15,67,67,13,4,49,2,7,16,13,0,3,3,3,7,17.836,30.7,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,257,133,59,59,21,3,41,5,9,22,21,0,1,3,3,7,18.595,30.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,027,133,58,58,21,3,41,8,11,21,10,0,0,3,3,6,18.692,30.55,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,003,14,30,30,3,4,18,2,3,5,3,0,0,3,3,7,19.8,30.4,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,469,255,11,11,0,3,6,0,2,10,2,0,8,2,3,6,23.182,30.3,"funnel_precol1,hot12,hot16,hot20,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,259,135,61,61,22,3,43,5,14,20,20,0,0,3,3,7,18.406,30.25,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,123,234,29,29,4,3,17,0,2,12,3,0,9,3,3,7,18.836,30.1,"funnel_precol1,hot12,hot16,hot20,hot4,hot8,literal_draw,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,007,13,66,66,13,4,49,8,21,15,3,0,0,3,3,7,20.148,30.1,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,straight_lane,superhot_set1,vertical1,vertical2,vertical3,vertical4,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,247,335,18,18,11,3,12,3,4,11,11,0,0,2,3,6,18.933,29.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
PuertoRico4,2025-06-23,279,335,18,18,11,3,12,3,4,11,11,0,0,2,3,6,18.933,29.95,"col1,funnel_precol1,hot12,hot16,hot20,hot4,hot8,ls2_lane,ls_col_42,set1_bonus,superhot_set1,vertical1,vertical2,vertical3,vt_only_lane,vt_straight"
